lat,lon,date,time
38.63078909,-75.81902591,9/22/2020,10:39:27
38.63079127,-75.81903638,9/22/2020,10:39:28
38.63079414,-75.81904522,9/22/2020,10:39:29
38.630797,-75.81905405,9/22/2020,10:39:30
38.63079987,-75.81906289,9/22/2020,10:39:31
38.63080274,-75.81907172,9/22/2020,10:39:32
38.63080561,-75.81908056,9/22/2020,10:39:33
38.63080847,-75.8190894,9/22/2020,10:39:34
38.63081134,-75.81909823,9/22/2020,10:39:35
38.63081421,-75.81910707,9/22/2020,10:39:36
38.63081708,-75.8191159,9/22/2020,10:39:37
38.63081994,-75.81912474,9/22/2020,10:39:38
38.63082281,-75.81913357,9/22/2020,10:39:39
38.63082568,-75.81914241,9/22/2020,10:39:40
38.63082854,-75.81915125,9/22/2020,10:39:41
38.63083141,-75.81916008,9/22/2020,10:39:42
38.63083428,-75.81916892,9/22/2020,10:39:43
38.63083715,-75.81917775,9/22/2020,10:39:44
38.63084001,-75.81918659,9/22/2020,10:39:45
38.63084288,-75.81919543,9/22/2020,10:39:46
38.63084575,-75.81920426,9/22/2020,10:39:47
38.63084861,-75.8192131,9/22/2020,10:39:48
38.63085148,-75.81922193,9/22/2020,10:39:49
38.63085435,-75.81923077,9/22/2020,10:39:50
38.63085722,-75.8192396,9/22/2020,10:39:51
38.63086008,-75.81924844,9/22/2020,10:39:52
38.63086295,-75.81925728,9/22/2020,10:39:53
38.63086582,-75.81926611,9/22/2020,10:39:54
38.63086869,-75.81927495,9/22/2020,10:39:55
38.63087155,-75.81928378,9/22/2020,10:39:56
38.63087442,-75.81929262,9/22/2020,10:39:57
38.63087665,-75.81929985,9/22/2020,10:39:58
38.63087887,-75.81930707,9/22/2020,10:39:59
38.6308811,-75.8193143,9/22/2020,10:40:00
38.63088332,-75.81932152,9/22/2020,10:40:01
38.63088555,-75.81932875,9/22/2020,10:40:02
38.63088778,-75.81933597,9/22/2020,10:40:03
38.63089,-75.8193432,9/22/2020,10:40:04
38.63089223,-75.81935042,9/22/2020,10:40:05
38.63089446,-75.81935765,9/22/2020,10:40:06
38.63089668,-75.81936488,9/22/2020,10:40:07
38.63089891,-75.8193721,9/22/2020,10:40:08
38.63090113,-75.81937933,9/22/2020,10:40:09
38.63090336,-75.81938655,9/22/2020,10:40:10
38.63090559,-75.81939378,9/22/2020,10:40:11
38.63090781,-75.819401,9/22/2020,10:40:12
38.63091004,-75.81940823,9/22/2020,10:40:13
38.63091227,-75.81941546,9/22/2020,10:40:14
38.63091449,-75.81942268,9/22/2020,10:40:15
38.63091672,-75.81942991,9/22/2020,10:40:16
38.63091894,-75.81943713,9/22/2020,10:40:17
38.63092117,-75.81944436,9/22/2020,10:40:18
38.6309234,-75.81945158,9/22/2020,10:40:19
38.63092562,-75.81945881,9/22/2020,10:40:20
38.63092785,-75.81946603,9/22/2020,10:40:21
38.63093007,-75.81947326,9/22/2020,10:40:22
38.6309323,-75.81948049,9/22/2020,10:40:23
38.63093453,-75.81948771,9/22/2020,10:40:24
38.63093675,-75.81949494,9/22/2020,10:40:25
38.63093898,-75.81950216,9/22/2020,10:40:26
38.63094121,-75.81950939,9/22/2020,10:40:27
38.63094343,-75.81951661,9/22/2020,10:40:28
38.63094566,-75.81952384,9/22/2020,10:40:29
38.63094788,-75.81953106,9/22/2020,10:40:30
38.63095011,-75.81953829,9/22/2020,10:40:31
38.63094956,-75.81954674,9/22/2020,10:40:32
38.63094901,-75.81955518,9/22/2020,10:40:33
38.63094847,-75.81956363,9/22/2020,10:40:34
38.63094792,-75.81957208,9/22/2020,10:40:35
38.63094737,-75.81958052,9/22/2020,10:40:36
38.63094682,-75.81958897,9/22/2020,10:40:37
38.63094628,-75.81959741,9/22/2020,10:40:38
38.63094573,-75.81960586,9/22/2020,10:40:39
38.63094518,-75.81961431,9/22/2020,10:40:40
38.63094463,-75.81962275,9/22/2020,10:40:41
38.63094409,-75.8196312,9/22/2020,10:40:42
38.63094354,-75.81963965,9/22/2020,10:40:43
38.63094299,-75.81964809,9/22/2020,10:40:44
38.63094244,-75.81965654,9/22/2020,10:40:45
38.6309419,-75.81966499,9/22/2020,10:40:46
38.63094135,-75.81967343,9/22/2020,10:40:47
38.6309408,-75.81968188,9/22/2020,10:40:48
38.63094025,-75.81969032,9/22/2020,10:40:49
38.6309397,-75.81969877,9/22/2020,10:40:50
38.63093916,-75.81970722,9/22/2020,10:40:51
38.63093861,-75.81971566,9/22/2020,10:40:52
38.63093806,-75.81972411,9/22/2020,10:40:53
38.63093751,-75.81973256,9/22/2020,10:40:54
38.63093697,-75.819741,9/22/2020,10:40:55
38.63093642,-75.81974945,9/22/2020,10:40:56
38.63093587,-75.81975789,9/22/2020,10:40:57
38.63093532,-75.81976634,9/22/2020,10:40:58
38.63093478,-75.81977479,9/22/2020,10:40:59
38.63093423,-75.81978323,9/22/2020,10:41:00
38.63093368,-75.81979168,9/22/2020,10:41:01
38.6309262,-75.81979111,9/22/2020,10:41:02
38.63091872,-75.81979053,9/22/2020,10:41:03
38.63091124,-75.81978996,9/22/2020,10:41:04
38.63090376,-75.81978939,9/22/2020,10:41:05
38.63089628,-75.81978882,9/22/2020,10:41:06
38.6308888,-75.81978824,9/22/2020,10:41:07
38.63088131,-75.81978767,9/22/2020,10:41:08
38.63087383,-75.8197871,9/22/2020,10:41:09
38.63086635,-75.81978653,9/22/2020,10:41:10
38.63085887,-75.81978595,9/22/2020,10:41:11
38.63085139,-75.81978538,9/22/2020,10:41:12
38.63084391,-75.81978481,9/22/2020,10:41:13
38.63083643,-75.81978423,9/22/2020,10:41:14
38.63082895,-75.81978366,9/22/2020,10:41:15
38.63082147,-75.81978309,9/22/2020,10:41:16
38.63081399,-75.81978252,9/22/2020,10:41:17
38.63080651,-75.81978194,9/22/2020,10:41:18
38.63079903,-75.81978137,9/22/2020,10:41:19
38.63079154,-75.8197808,9/22/2020,10:41:20
38.63078406,-75.81978022,9/22/2020,10:41:21
38.63077658,-75.81977965,9/22/2020,10:41:22
38.6307691,-75.81977908,9/22/2020,10:41:23
38.63076162,-75.81977851,9/22/2020,10:41:24
38.63075414,-75.81977793,9/22/2020,10:41:25
38.63074666,-75.81977736,9/22/2020,10:41:26
38.63073918,-75.81977679,9/22/2020,10:41:27
38.6307317,-75.81977622,9/22/2020,10:41:28
38.63072422,-75.81977564,9/22/2020,10:41:29
38.63071674,-75.81977507,9/22/2020,10:41:30
38.63070926,-75.8197745,9/22/2020,10:41:31
38.63070177,-75.81977392,9/22/2020,10:41:32
38.63069429,-75.81977335,9/22/2020,10:41:33
38.63068681,-75.81977278,9/22/2020,10:41:34
38.63067933,-75.81977221,9/22/2020,10:41:35
38.63067185,-75.81977163,9/22/2020,10:41:36
38.63066437,-75.81977106,9/22/2020,10:41:37
38.63065606,-75.81977227,9/22/2020,10:41:38
38.63064776,-75.81977348,9/22/2020,10:41:39
38.63063945,-75.81977469,9/22/2020,10:41:40
38.63063115,-75.81977589,9/22/2020,10:41:41
38.63062284,-75.8197771,9/22/2020,10:41:42
38.63061454,-75.81977831,9/22/2020,10:41:43
38.63060623,-75.81977952,9/22/2020,10:41:44
38.63059793,-75.81978073,9/22/2020,10:41:45
38.63058962,-75.81978194,9/22/2020,10:41:46
38.63058132,-75.81978314,9/22/2020,10:41:47
38.63057301,-75.81978435,9/22/2020,10:41:48
38.63056471,-75.81978556,9/22/2020,10:41:49
38.6305564,-75.81978677,9/22/2020,10:41:50
38.6305481,-75.81978798,9/22/2020,10:41:51
38.63053979,-75.81978918,9/22/2020,10:41:52
38.63053149,-75.81979039,9/22/2020,10:41:53
38.63052318,-75.8197916,9/22/2020,10:41:54
38.63051488,-75.81979281,9/22/2020,10:41:55
38.63050657,-75.81979402,9/22/2020,10:41:56
38.63049826,-75.81979523,9/22/2020,10:41:57
38.63048996,-75.81979643,9/22/2020,10:41:58
38.63048165,-75.81979764,9/22/2020,10:41:59
38.63047335,-75.81979885,9/22/2020,10:42:00
38.63046504,-75.81980006,9/22/2020,10:42:01
38.63045674,-75.81980127,9/22/2020,10:42:02
38.63044843,-75.81980248,9/22/2020,10:42:03
38.63044013,-75.81980369,9/22/2020,10:42:04
38.63043182,-75.81980489,9/22/2020,10:42:05
38.63042352,-75.8198061,9/22/2020,10:42:06
38.63041521,-75.81980731,9/22/2020,10:42:07
38.63040691,-75.81980852,9/22/2020,10:42:08
38.6303986,-75.81980973,9/22/2020,10:42:09
38.6303903,-75.81981094,9/22/2020,10:42:10
38.63038199,-75.81981214,9/22/2020,10:42:11
38.63037369,-75.81981335,9/22/2020,10:42:12
38.63036538,-75.81981456,9/22/2020,10:42:13
38.63035769,-75.81981964,9/22/2020,10:42:14
38.63035,-75.81982473,9/22/2020,10:42:15
38.63034231,-75.81982981,9/22/2020,10:42:16
38.63033461,-75.81983489,9/22/2020,10:42:17
38.63032692,-75.81983998,9/22/2020,10:42:18
38.63031923,-75.81984506,9/22/2020,10:42:19
38.63031154,-75.81985015,9/22/2020,10:42:20
38.63030385,-75.81985523,9/22/2020,10:42:21
38.63029616,-75.81986031,9/22/2020,10:42:22
38.63028847,-75.8198654,9/22/2020,10:42:23
38.63028078,-75.81987048,9/22/2020,10:42:24
38.63027308,-75.81987556,9/22/2020,10:42:25
38.63026539,-75.81988065,9/22/2020,10:42:26
38.6302577,-75.81988573,9/22/2020,10:42:27
38.63025001,-75.81989082,9/22/2020,10:42:28
38.63024232,-75.8198959,9/22/2020,10:42:29
38.63023463,-75.81990098,9/22/2020,10:42:30
38.63022694,-75.81990607,9/22/2020,10:42:31
38.63021925,-75.81991115,9/22/2020,10:42:32
38.63021155,-75.81991623,9/22/2020,10:42:33
38.63020386,-75.81992132,9/22/2020,10:42:34
38.63019617,-75.8199264,9/22/2020,10:42:35
38.63018848,-75.81993149,9/22/2020,10:42:36
38.63018079,-75.81993657,9/22/2020,10:42:37
38.6301731,-75.81994165,9/22/2020,10:42:38
38.63016541,-75.81994674,9/22/2020,10:42:39
38.63015771,-75.81995182,9/22/2020,10:42:40
38.63015002,-75.8199569,9/22/2020,10:42:41
38.63014233,-75.81996199,9/22/2020,10:42:42
38.63013464,-75.81996707,9/22/2020,10:42:43
38.63012695,-75.81997215,9/22/2020,10:42:44
38.63011926,-75.81997724,9/22/2020,10:42:45
38.63011157,-75.81998232,9/22/2020,10:42:46
38.63010388,-75.81998741,9/22/2020,10:42:47
38.63009618,-75.81999249,9/22/2020,10:42:48
38.63008849,-75.81999757,9/22/2020,10:42:49
38.6300808,-75.82000266,9/22/2020,10:42:50
38.63007311,-75.82000774,9/22/2020,10:42:51
38.63006542,-75.82001282,9/22/2020,10:42:52
38.63005773,-75.82001791,9/22/2020,10:42:53
38.63005004,-75.82002299,9/22/2020,10:42:54
38.63004235,-75.82002808,9/22/2020,10:42:55
38.63003465,-75.82003316,9/22/2020,10:42:56
38.63002696,-75.82003824,9/22/2020,10:42:57
38.63001927,-75.82004333,9/22/2020,10:42:58
38.63001158,-75.82004841,9/22/2020,10:42:59
38.63000376,-75.82004909,9/22/2020,10:43:00
38.62999594,-75.82004976,9/22/2020,10:43:01
