"from","to","distance_m"
"Federalsburg","Federalsburg",0
"Federalsburg","0.5 Federalsburg",0
"Federalsburg","1 Marshyhope/VFW speed limit buoy",1845
"Federalsburg","1 VFW speed limit buoy",1845
"Federalsburg","2 Marshyhope /Fooks pier",3792
"Federalsburg","2 Fook's pier",3792
"Federalsburg","Marshyhope/Fooks pier",3792
"Federalsburg","2.6 Marshyhope/Below Yellow House",5517
"Federalsburg","2.6 Below Yellow House",5517
"Federalsburg","2.3 Marshyhope/Yellow House",5003
"Federalsburg","2.3 Yellow House",5003
"Federalsburg","2.8 Marshyhope/Wright",6784
"Federalsburg","2.8 Wright",6784
"Federalsburg","3.9 Pump House",7949
"Federalsburg","Marshyhope/Grey Cabin",8848
"Federalsburg","3 Marshyhope/Grey Cabin",8848
"Federalsburg","3 Palmer's Mill",8848
"Federalsburg","3.2 Marshyhope/Below 392 Bridge",11149
"Federalsburg","3.2 Below 392 Bridge",11149
"Federalsburg","3.4 Marshyhope/Puckums Branch",13637
"Federalsburg","3.4 Puckum's Branch",13637
"Federalsburg","3.6 Marshyhope/Below Puckum's Branch",15970
"Federalsburg","3.6 Below Puckum's Branch",15970
"Federalsburg","3.8 Marshyhope/Above Brookview Bridge",17781
"Federalsburg","3.8 Above Brookview Bridge",17781
"Federalsburg","Marshyhope/Brookview buoy",18272
"Federalsburg","4 Marshyhope/Brookview buoy",19081
"Federalsburg","4 Brookview buoy",19081
"Federalsburg","4.2 Below Brookview",20472
"Federalsburg","4.2 Marshyhope/Below Brookview",20472
"Federalsburg","4.4 Above Walnut Landing Rd.",21769
"Federalsburg","4.4 Marshyhope/Above Walnut Landing Rd.",21769
"Federalsburg","4.4 Above Walnut Landing",21769
"Federalsburg","4.6 Walnut Landing Rd.",23083
"Federalsburg","4.8 Red Bank",25120
"Federalsburg","4.9 Marshyhope confluence",26978
"0.5 Federalsburg","0.5 Federalsburg",0
"0.5 Federalsburg","1 Marshyhope/VFW speed limit buoy",1845
"0.5 Federalsburg","1 VFW speed limit buoy",1845
"0.5 Federalsburg","2 Marshyhope /Fooks pier",3792
