site,time_edt,type,number,lat,long,lat_dm,long_dm
N6,10:47,receiver,546305,38.57497,-75.7838,38 34.4982,75 47.028
Brookview,10:54,tag,12727,38.57457,-75.78499,38 34.4742,75 47.0994
S5,11:02,receiver,546467,38.5741,-75.78581,38 34.446,75 47.1486
N5,11:12,receiver,546469,38.5744,-75.78692,38 34.464,75 47.2152
N4,11:23,receiver,546472,38.57432,-75.78831,38 34.4592,75 47.2986
S4,11:30,receiver,546471,38.57366,-75.78869,38 34.4196,75 47.3214
S3,11:38,receiver,546303,38.5745,-75.79109,38 34.47,75 47.4654
N3,11:44,receiver,546211,38.57505,-75.79079,38 34.503,75 47.4474
N2,11:50,receiver,546457,38.57625,-75.79289,38 34.575,75 47.5734
S2,12:07,receiver,546323,38.57592,-75.79339,38 34.5552,75 47.6034
S1,12:15,receiver,546465,38.57721,-75.7958,38 34.6326,75 47.748
Above Brookview,12:21,tag,29926,38.57821,-75.79514,38 34.6926,75 47.7084
