Date 	Day	Time	Pred	High/Low
2021/08/19	Thu	03:03	3.12	H
2021/08/19	Thu	09:41	0.27	L
2021/08/19	Thu	15:34	2.41	H
2021/08/19	Thu	21:36	0.16	L
2021/08/20	Fri	04:06	3.18	H
2021/08/20	Fri	10:38	0.17	L
2021/08/20	Fri	16:35	2.55	H
2021/08/20	Fri	22:36	0.09	L
2021/08/21	Sat	05:02	3.23	H
2021/08/21	Sat	11:30	0.09	L
2021/08/21	Sat	17:29	2.69	H
2021/08/21	Sat	23:32	0.04	L
2021/08/22	Sun	05:53	3.24	H
2021/08/22	Sun	12:17	0.04	L
2021/08/22	Sun	18:17	2.81	H
2021/08/23	Mon	00:23	0.03	L
2021/08/23	Mon	06:39	3.19	H
2021/08/23	Mon	13:00	0.04	L
2021/08/23	Mon	19:02	2.89	H
2021/08/24	Tue	01:12	0.08	L
2021/08/24	Tue	07:21	3.08	H
2021/08/24	Tue	13:41	0.08	L
2021/08/24	Tue	19:44	2.93	H
2021/08/25	Wed	01:58	0.17	L
2021/08/25	Wed	08:01	2.93	H
2021/08/25	Wed	14:19	0.16	L
2021/08/25	Wed	20:25	2.93	H
2021/08/26	Thu	02:43	0.29	L
2021/08/26	Thu	08:39	2.75	H
2021/08/26	Thu	14:56	0.27	L
2021/08/26	Thu	21:05	2.89	H
2021/08/27	Fri	03:28	0.44	L
2021/08/27	Fri	09:18	2.56	H
2021/08/27	Fri	15:32	0.40	L
2021/08/27	Fri	21:45	2.83	H
2021/08/28	Sat	04:14	0.59	L
2021/08/28	Sat	09:58	2.38	H
2021/08/28	Sat	16:10	0.53	L
2021/08/28	Sat	22:28	2.76	H
2021/08/29	Sun	05:04	0.72	L
2021/08/29	Sun	10:41	2.22	H
2021/08/29	Sun	16:53	0.65	L
2021/08/29	Sun	23:14	2.69	H
2021/08/30	Mon	05:57	0.82	L
2021/08/30	Mon	11:30	2.11	H
2021/08/30	Mon	17:41	0.75	L
2021/08/31	Tue	00:06	2.63	H
2021/08/31	Tue	06:54	0.87	L
2021/08/31	Tue	12:27	2.05	H
2021/08/31	Tue	18:37	0.80	L
2021/09/01	Wed	01:04	2.60	H
2021/09/01	Wed	07:53	0.86	L
2021/09/01	Wed	13:30	2.06	H
2021/09/01	Wed	19:36	0.79	L
2021/09/02	Thu	02:05	2.63	H
