fullid,totallength,time,time.local,datecaptured,dist
A69-9001-26353,1473,2021-09-18T18:17:35.169156Z,2021-09-18T18:17:35.169156Z,2015-08-31,97.4102244728021
A69-9001-23902,1721,2021-09-19T13:38:02.675926Z,2021-09-19T13:38:02.675926Z,2015-09-17,59.1835666507496
A69-9001-23902,1721,2021-09-19T13:39:21.251456Z,2021-09-19T13:39:21.251456Z,2015-09-17,71.131137474229
A69-9001-23902,1721,2021-09-19T19:51:28.177443Z,2021-09-19T19:51:28.177443Z,2015-09-17,58.2463789717324
A69-9001-23902,1721,2021-09-19T19:53:06.730670Z,2021-09-19T19:53:06.730670Z,2015-09-17,73.5938910462909
A69-9001-23902,1721,2021-09-19T19:55:07.420408Z,2021-09-19T19:55:07.420408Z,2015-09-17,76.9424659713845
A69-9001-23902,1721,2021-09-19T23:10:27.776014Z,2021-09-19T23:10:27.776014Z,2015-09-17,73.100967319575
A69-9001-23902,1721,2021-09-24T11:00:58.452480Z,2021-09-24T11:00:58.452480Z,2015-09-17,92.4493944536576
A69-9001-23902,1721,2021-09-24T11:02:34.488953Z,2021-09-24T11:02:34.488953Z,2015-09-17,56.3436717205166
A69-9001-23902,1721,2021-09-24T11:04:31.136998Z,2021-09-24T11:04:31.136998Z,2015-09-17,75.2037163907396
A69-9001-23904,1753,2021-09-25T22:09:37.177919Z,2021-09-25T22:09:37.177919Z,2015-09-29,58.1809455861879
A69-9001-23904,1753,2021-09-26T11:22:00.384078Z,2021-09-26T11:22:00.384078Z,2015-09-29,53.7949828910833
A69-9001-23904,1753,2021-09-26T11:23:21.002531Z,2021-09-26T11:23:21.002531Z,2015-09-29,52.9685990373839
A69-9001-23904,1753,2021-09-26T11:24:45.361876Z,2021-09-26T11:24:45.361876Z,2015-09-29,95.0337964331427
A69-9001-23904,1753,2021-09-26T19:32:37.266397Z,2021-09-26T19:32:37.266397Z,2015-09-29,67.323253168266
A69-9001-23904,1753,2021-09-26T19:34:06.323114Z,2021-09-26T19:34:06.323114Z,2015-09-29,69.8433857012442
A69-9001-23904,1753,2021-09-29T14:33:19.832186Z,2021-09-29T14:33:19.832186Z,2015-09-29,83.3948837133005
