transmitter,type,owner
A69-9001-18009,fish,MDNR
A69-9001-18010,fish,MDNR
A69-9001-18980,fish,MDNR
A69-9001-18981,fish,MDNR
A69-9001-18983,fish,MDNR
A69-9001-21065,fish,MDNR
A69-9001-21069,fish,MDNR
A69-9001-21071,fish,MDNR
A69-9001-23903,fish,MDNR
A69-9001-23904,fish,MDNR
A69-9001-26352,fish,MDNR
A69-9001-26353,fish,MDNR
A69-9001-27543,fish,MDNR
A69-9001-27545,fish,MDNR
A69-9001-10157,fish,DNREC
A69-9001-21909,fish,VCU
A69-1602-29927,float through,UMCES
A69-1601-60675,sync,UMCES
A69-1601-60767,sync,UMCES
A69-1601-60769,sync,UMCES
A69-1601-60787,sync,UMCES
A69-1601-60921,sync,UMCES
A69-1601-60929,sync,UMCES
A69-1601-60931,sync,UMCES
A69-1601-60933,sync,UMCES
A69-1601-60935,sync,UMCES
A69-1601-60936,sync,UMCES
A69-1602-29926,sync,UMCES
A69-9006-12727,sync,UMCES
